Nombre,Suscriptores,VistasTotales,CantidadVivosMes,RankingSubs,RankingViews,RatioViews_Subs
FLOYD TV ,26600,995061,10,1.0,3.0,37.40830827067669
OID MORTALES,21900,5266810,10,2.0,1.0,240.49360730593608
Choco TV,8360,678751,10,3.0,4.0,81.19031100478469
Goreme Media,7030,1466406,0,4.0,2.0,208.59260312944522
Canal Bardo,4200,218766,10,5.0,5.0,52.08714285714286
Agencia Aluza,1800,33657,3,6.0,10.0,18.698333333333334
Serebross TV,1370,104730,10,7.0,7.0,76.44525547445255
EL BÃšNKER,865,49852,4,8.0,9.0,57.63236994219653
DESDE EL FONDO,831,166548,0,9.0,6.0,200.4187725631769
Vorterix Mendoza,714,82754,0,10.0,8.0,115.90196078431373
Gordivinos,619,27649,5,11.0,12.0,44.66720516962843
MALBEC PLAY,552,30063,0,12.0,11.0,54.46195652173913
Cascote TV,280,14236,10,13.0,13.0,50.84285714285714
Radio Alerta,64,2527,0,14.0,14.0,39.484375
